PATH,TYPE,VALUE,MTIME
/,KEY,,2022-04-11 15:03:59
/AppEvents,KEY,,2022-04-11 15:17:12
/AppEvents/EventLabels,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/.Default/,SZ,Default Beep,
/AppEvents/EventLabels/.Default/DispFileName,SZ,@mmres.dll%2C-5824,
/AppEvents/EventLabels/ActivatingDocument,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/ActivatingDocument/,SZ,Complete Navigation,
/AppEvents/EventLabels/ActivatingDocument/DispFileName,SZ,@ieframe.dll%2C-10321,
/AppEvents/EventLabels/AppGPFault,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/AppGPFault/,SZ,Program Error,
/AppEvents/EventLabels/AppGPFault/DispFileName,SZ,@mmres.dll%2C-5825,
/AppEvents/EventLabels/BlockedPopup,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/BlockedPopup/,SZ,Blocked Pop-up Window,
/AppEvents/EventLabels/BlockedPopup/DispFileName,SZ,@ieframe.dll%2C-10325,
/AppEvents/EventLabels/CCSelect,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/CCSelect/,SZ,Select,
/AppEvents/EventLabels/CCSelect/DispFileName,SZ,@ieframe.dll%2C-10323,
/AppEvents/EventLabels/ChangeTheme,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/ChangeTheme/,SZ,Change Theme,
/AppEvents/EventLabels/ChangeTheme/DispFileName,SZ,@mmres.dll%2C-5860,
/AppEvents/EventLabels/Close,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Close/,SZ,Close Program,
/AppEvents/EventLabels/Close/DispFileName,SZ,@mmres.dll%2C-5826,
/AppEvents/EventLabels/CriticalBatteryAlarm,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/CriticalBatteryAlarm/,SZ,Critical Battery Alarm,
/AppEvents/EventLabels/CriticalBatteryAlarm/DispFileName,SZ,@mmres.dll%2C-5827,
/AppEvents/EventLabels/DeviceConnect,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/DeviceConnect/,SZ,Device Connect,
/AppEvents/EventLabels/DeviceConnect/DispFileName,SZ,@mmres.dll%2C-5828,
/AppEvents/EventLabels/DeviceDisconnect,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/DeviceDisconnect/,SZ,Device Disconnect,
/AppEvents/EventLabels/DeviceDisconnect/DispFileName,SZ,@mmres.dll%2C-5829,
/AppEvents/EventLabels/DeviceFail,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/DeviceFail/,SZ,Device Failed to Connect,
/AppEvents/EventLabels/DeviceFail/DispFileName,SZ,@mmres.dll%2C-5830,
/AppEvents/EventLabels/DisNumbersSound,KEY,,2022-04-11 14:18:01
